名称,类型,行政区,次级地理位置,末级地理位置,房型,面积,总价,均价
尊悦日坛,商业类,朝阳,朝阳门外,日坛北路19号,1室,90,775,63000
天恒摩墅,别墅,房山,房山其它,周口店镇政府东200米,3室,150,425,23000
鲁能·格拉斯小镇,别墅,通州,通州其它,北京市通州区宋庄镇格拉斯小镇营销中心,3室,317,1762,62000
兴创荣墅,别墅,大兴,大兴新机场洋房别墅区,北京市大兴区育胜街,3室,380,1135,25000
丽都壹号,住宅,朝阳,酒仙桥,"将台路与驼房营路交叉口向北150米, 将府家园北里",1室,91,875,95000
韩建·观山源墅,住宅,房山,良乡,阳光北大街与多宝路交汇处西南（理工大学北校区西侧）,4室,121,557,40000
北辰墅院1900,住宅,顺义,马坡,顺兴街11号院望尊园,2室,109,467,36000
润泽御府,别墅,朝阳,北苑,北京市朝阳区北五环顾家庄桥向北约2.6公里,4室,1115,7219,120000
中骏西山天璟,住宅,门头沟,城子,西山永定楼北300米,4室,153,780,65000
兴创国际中心,写字楼,大兴,西红门,西红门镇欣宁街与宏康路交叉口向西500米,0室,1450,5075,38000
达美中心广场,写字楼,朝阳,朝青,"姚家园路甲118号, 青年路7号院",,-1,1200,48000
燕西华府,别墅,丰台,丰台其它,"王佐镇青龙湖公园东1500米, 泉湖西路1号院（七区）, 泉湖西路1号院（六区）",0室,523,3440,52000
京西悦府,住宅,房山,阎村,燕房线阎村地铁站东南角约189米,3室,127,445,33000
合景寰汇公馆,住宅,通州,武夷花园,北京市通州区滨河中路西侧（合景寰汇公馆）,2室,97,425,42000
K2十里春风,住宅,通州,通州其它,北京市通州区,2室,81,208,24500
K2十里春风,别墅,通州,通州其它,北京市通州区,3室,155,431,28000
玺萌壹號院,别墅,丰台,草桥,西南三环嘉园路与镇国寺北街交叉口,5室,392,3540,90000
北京书院,住宅,朝阳,惠新西街,北京市朝阳区北土城东路辅路,1室,103,1585,145000
旭辉26号街区,商业,顺义,顺义其它,"临空经济核心区南法信地铁站南300米, 信中北街16号院",1室,27,77,27000
金隅上城郡,别墅,昌平,北七家,北亚花园东路50米,4室,307,1290,45000
中铁华侨城和园,住宅,大兴,瀛海,南五环南海子公园西侧约500米,3室,169,950,60000
顺鑫颐和天璟,住宅,顺义,顺义其它,新城右堤路与昌金路交汇处向北200米,3室,165,450,33000
顺鑫颐和天璟,别墅,顺义,顺义其它,新城右堤路与昌金路交汇处向北200米,4室,382,1075,33000
未来公元,住宅,昌平,北七家,京承高速北七家出口800米路南,3室,136,810,61183
北京城建北京合院,住宅,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),3室,112,563,47000
复地运河公馆,住宅,通州,武夷花园,通州运河核心区临滨河西路,2室,117,525,43000
北京城建北京合院,别墅,顺义,顺义其它,燕京街与通顺路交汇口东800米(仁和公园南),4室,270,1100,45000
月亮河七星公馆,住宅,通州,武夷花园,通燕高速耿庄桥出口南200米月亮河，河滨路1号,1室,82,587,68000
天润福熙大道,住宅,朝阳,北苑,"清河营东路1号院, 清河营东路3号院",1室,276,2152,120000
元熙华府,住宅,丰台,宋家庄,东南三环东铁营桥向南600米,3室,136,1206,87000
京贸国际公馆,住宅,通州,九棵树(家乐福),怡乐中路299号院（广渠快速路二期出口向南1000米）,1室,109,722,64000
凯德麓语,别墅,昌平,昌平其它,兴寿镇京承高速G11出口向西怀昌路北侧,3室,571,2100,35000
京贸国际城·峰景,住宅,通州,武夷花园,芙蓉东路1号（通燕高速耿庄桥北出口向南300米）,1室,104,695,68000
观唐云鼎,别墅,密云,溪翁庄镇,溪翁庄镇密溪路39号院（云佛山度假村对面）,3室,485,1459,30000
檀香府,住宅,门头沟,门头沟其它,京潭大街与潭柘十街交叉口,3室,147,640,43000
金樾和著,住宅,房山,房山其它,房山区良常路官道路口西800米,4室,127,360,29000
尊悦光华,住宅,朝阳,CBD,北京市朝阳区光华东里甲1号院3号楼,3室,152,2640,150000
中海云筑,住宅,大兴,大兴新机场,北京市大兴区团结路,3室,159,-1,385
中海云筑,别墅,大兴,大兴新机场,京开高速庞各庄桥西1500米，团结路北（庞各庄镇宏轩饺子馆儿对面）,3室,266,750,28000
远洋五里春秋,住宅,石景山,石景山其它,五里坨黑石头路前行500m,3室,290,1000,52024
首创·河著,别墅,顺义,顺义其它,京承高速11出口（昌金路）向东900 米路北,4室,279,1550,41000
华萃西山,住宅,门头沟,门头沟其它,永定镇地铁S1号线石厂西南700米,3室,104,580,48000
京西悦府,别墅,房山,阎村,北京市房山区燕房线阎村地铁站东南角约189米,3室,175,713,40000
中粮天恒天悦壹号,别墅,丰台,新宫,南四环地铁新宫站南500米,4室,280,2300,80000
龙湾别墅,住宅,顺义,中央别墅区,后沙峪镇龙湾别墅,4室,267,2300,70000
京投发展·锦悦府,住宅,密云,鼓楼街道,檀营乡檀东路西侧,3室,84,220,25607
远洋五里春秋,别墅,石景山,石景山其它,五里坨黑石头路前行500m,4室,415,1415,54625
公园十七区,住宅,顺义,后沙峪,顺义区后沙峪火沙路和裕庆路交汇口北500米,3室,190,975,42000
金辰府,住宅,昌平,北七家,北京市昌平区北七家镇政府东南100米,3室,116,640,55000
龙湖熙湖悦著,住宅,房山,房山其它,大苑村收费站出口（良坨路桥）左行200米,2室,213,550,37000
